Date,Open,High,Low,Close
2021-01-01,32052.76,32393.82,31828.9,32036.22
2021-01-04,32774.6,32797.62,32386.23,32739.82
2021-01-05,33046.14,33428.48,32890.71,33095.79
2021-01-06,32773.77,33040.36,32487.04,32655.5
2021-01-07,32504.28,32644.69,31954.98,32337.14
2021-01-08,32729.84,32830.52,32558.88,32603.11
2021-01-11,32261.37,32337.65,31988.2,32297.04
2021-01-12,31344.92,31698.89,30931.47,31250.3
2021-01-13,31246.24,31299.45,31179.97,31236.5
2021-01-14,30378.34,30623.92,30117.89,30528.87
2021-01-15,31412.77,31673.29,31151.77,31328.36
2021-01-18,31446.55,31714.53,31106.51,31428.17
2021-01-19,31318.86,31379.28,30658.11,30995.63
2021-01-20,30847.94,31149.31,30347.55,30668.64
2021-01-21,29866.19,30049.07,29758.34,29781.35
2021-01-22,29310.94,29609.37,29015.8,29281.75
2021-01-25,29785.5,29816.69,29436.83,29766.0
2021-01-26,30719.45,30858.88,30490.4,30843.03
2021-01-27,30993.93,31448.84,30770.45,31210.27
2021-01-28,31068.81,31233.56,31052.03,31177.44
2021-01-29,30972.44,31173.5,30654.28,30978.36
2021-02-01,30271.3,30532.49,30254.44,30527.32
2021-02-02,31477.72,31841.58,31359.3,31546.33
2021-02-03,31434.03,31804.83,31084.79,31465.18
2021-02-04,32516.08,32871.72,32145.5,32544.11
2021-02-05,33191.45,33662.14,32796.38,33279.42
2021-02-08,32348.09,32743.35,32163.16,32392.31
2021-02-09,32288.97,32461.01,31998.81,32067.08
2021-02-10,31827.76,31979.91,31557.71,31743.58
2021-02-11,31645.27,32057.35,31606.41,31716.27
2021-02-12,31690.07,32051.33,31358.26,31698.73
2021-02-15,33239.76,33631.61,33016.17,33243.52
2021-02-16,32597.0,32998.75,32438.77,32697.28
2021-02-17,32727.58,32908.0,32696.35,32828.42
2021-02-18,33296.18,33673.74,33000.61,33161.87
2021-02-19,33118.55,33551.26,32774.31,33174.21
2021-02-22,33099.76,33510.76,32820.37,33245.01
2021-02-23,32709.8,33052.0,32677.44,32715.45
2021-02-24,32798.84,33019.71,32720.46,32783.36
2021-02-25,32801.72,33436.15,32647.3,33061.58
2021-02-26,33240.36,33283.26,33199.92,33245.78
2021-03-01,33675.7,34024.83,33182.83,33558.98
2021-03-02,34389.55,34412.45,34058.84,34327.53
2021-03-03,35163.89,35306.98,34811.99,34851.65
2021-03-04,35079.77,35136.73,34574.57,34904.65
2021-03-05,34479.3,34677.54,34128.5,34280.05
2021-03-08,34353.76,34449.5,33871.31,33971.13
2021-03-09,33970.13,34358.24,33635.62,33867.27
2021-03-10,34037.82,34266.27,34010.16,34015.62
2021-03-11,33905.55,34270.8,33585.13,33773.74
2021-03-12,33218.51,33403.99,32882.15,33292.9
2021-03-15,32702.75,32712.95,32324.63,32688.67
2021-03-16,31779.8,32158.82,31649.16,31862.25
2021-03-17,31807.76,32075.86,31512.35,31757.17
2021-03-18,30962.06,31246.11,30877.79,31042.9
2021-03-19,30485.85,30868.83,30280.91,30569.73
2021-03-22,30443.05,30749.94,30300.09,30392.74
2021-03-23,29755.41,29981.84,29551.4,29771.81
2021-03-24,29732.16,30309.58,29670.89,29962.28
2021-03-25,30149.59,30587.55,29809.05,30325.64
2021-03-26,29938.6,30320.6,29619.96,30076.3
2021-03-29,29776.52,30011.47,29656.13,29881.87
2021-03-30,30197.83,30198.65,29866.84,30147.82
2021-03-31,29848.68,29934.98,29788.37,29822.55
2021-04-01,29594.72,29866.02,29207.07,29468.88
2021-04-02,30131.95,30388.62,29939.52,30041.35
2021-04-05,30605.63,30727.2,30425.08,30474.68
2021-04-06,30851.96,31083.56,30526.49,30776.97
2021-04-07,31267.51,31340.79,31065.17,31241.3
2021-04-08,30429.0,30525.26,30102.75,30295.48
2021-04-09,31074.7,31427.98,30767.23,30960.63
2021-04-12,31211.66,31366.42,31142.51,31164.75
2021-04-13,31838.84,31932.44,31657.84,31677.37
2021-04-14,31585.99,32070.13,31358.12,31883.76
2021-04-15,31883.93,32069.24,31645.24,31921.0
2021-04-16,31756.64,32073.86,31738.67,31795.51
2021-04-19,32140.43,32511.5,31847.29,31992.58
2021-04-20,32049.35,32276.92,31614.31,31848.53
2021-04-21,32112.81,32528.76,31859.76,32299.63
2021-04-22,31693.54,31832.3,31201.91,31515.15
2021-04-23,31113.76,31471.7,30956.68,31259.9
2021-04-26,32148.67,32419.51,31937.16,32295.76
2021-04-27,31961.62,31992.0,31739.71,31991.58
2021-04-28,31843.65,32215.58,31724.41,31884.2
2021-04-29,31261.1,31618.69,31240.91,31456.58
2021-04-30,31718.29,31905.59,31634.34,31635.95
2021-05-03,31368.79,31400.22,30969.77,31283.66
2021-05-04,31336.57,31651.35,31129.75,31204.73
2021-05-05,31582.43,31701.9,31343.57,31637.24
2021-05-06,31298.46,31457.66,31081.73,31303.41
2021-05-07,31703.33,32026.9,31551.29,31707.19
2021-05-10,32350.88,32528.59,31811.79,32133.18
2021-05-11,32316.02,33049.68,32045.18,32684.47
2021-05-12,32644.69,32852.2,32635.78,32769.89
2021-05-13,34500.51,34796.62,34178.2,34499.75
2021-05-14,34939.35,35503.23,34726.78,35091.4
2021-05-17,35248.96,35518.12,35102.17,35285.4
2021-05-18,34798.26,35105.0,34494.72,34815.81
2021-05-19,34685.06,34940.53,34399.51,34776.43
2021-05-20,35589.73,35910.61,35447.94,35580.55
2021-05-21,36657.99,37057.8,36134.65,36565.99
2021-05-24,37406.78,37758.03,37115.59,37442.15
2021-05-25,37854.38,38348.98,37579.2,37923.06
2021-05-26,37170.61,37458.01,37139.44,37195.27
2021-05-27,37495.49,37756.29,37369.81,37496.61
2021-05-28,36530.07,36919.72,36334.13,36785.25
2021-05-31,36014.24,36320.93,35675.78,35947.82
2021-06-01,36032.72,36479.83,35811.01,36097.79
2021-06-02,36595.09,36878.92,36077.5,36410.89
2021-06-03,37034.72,37138.29,36830.85,36947.27
2021-06-04,37427.21,37671.58,36938.56,37252.45
2021-06-07,37428.86,37921.44,37062.09,37580.53
2021-06-08,36962.01,37434.23,36622.68,37016.96
2021-06-09,36787.2,37039.95,36446.91,36970.48
2021-06-10,36015.92,36172.91,35631.91,36117.65
2021-06-11,35185.6,35359.96,34974.45,35009.82
2021-06-14,35646.08,35699.81,35138.16,35434.62
2021-06-15,34870.21,35442.87,34464.88,35030.73
2021-06-16,35464.42,35710.39,35220.29,35529.49
2021-06-17,36158.42,36401.05,36064.13,36169.44
2021-06-18,35916.63,36014.51,35403.14,35832.6
2021-06-21,35927.83,36376.63,35852.52,36181.63
2021-06-22,35592.11,36244.33,35448.79,35821.06
2021-06-23,34876.79,35081.31,34736.68,34808.55
2021-06-24,34619.1,34893.75,34426.13,34890.05
2021-06-25,34584.16,34746.86,34410.32,34646.03
