Date,Open,High,Low,Close
2021-01-01,14038.81,14064.74,14014.38,14052.92
2021-01-04,13755.41,13988.41,13669.27,13892.58
2021-01-05,13960.0,14094.34,13927.0,14015.75
2021-01-06,14240.58,14345.56,14157.54,14170.53
2021-01-07,13711.67,13939.3,13678.38,13864.88
2021-01-08,13647.02,13731.38,13638.05,13666.0
2021-01-11,13625.71,13767.7,13602.92,13690.17
2021-01-12,13689.49,13785.09,13564.7,13645.5
2021-01-13,13610.43,13729.28,13503.97,13647.23
2021-01-14,13542.02,13618.75,13505.99,13520.16
2021-01-15,13690.91,13825.28,13587.69,13659.98
2021-01-18,13886.99,14011.25,13689.21,13785.36
2021-01-19,13788.87,13856.6,13750.11,13800.07
2021-01-20,14003.07,14137.6,13919.6,13982.03
2021-01-21,13977.53,14204.84,13965.48,14060.81
2021-01-22,13995.38,14021.15,13892.1,13928.89
2021-01-25,13949.2,14089.53,13871.07,13991.7
2021-01-26,13813.77,13892.19,13649.59,13844.79
2021-01-27,13986.57,14111.89,13819.36,13987.82
2021-01-28,13897.19,14024.41,13733.82,13984.34
2021-01-29,13972.27,14084.84,13888.62,13959.49
2021-02-01,13910.25,13952.83,13843.11,13856.52
2021-02-02,14070.88,14157.19,13999.83,14054.4
2021-02-03,13945.34,14194.02,13905.56,14034.25
2021-02-04,13963.78,14034.62,13961.41,13970.69
2021-02-05,13960.81,14107.53,13903.53,13919.44
2021-02-08,13903.32,14174.06,13827.71,14008.15
2021-02-09,14010.43,14218.51,13953.32,14070.79
2021-02-10,14190.95,14219.2,14110.68,14141.28
2021-02-11,14230.41,14370.38,14092.89,14215.04
2021-02-12,14593.12,14598.75,14506.66,14569.09
2021-02-15,14615.01,14683.99,14358.42,14506.71
2021-02-16,14454.34,14605.37,14385.56,14427.28
2021-02-17,14336.98,14455.48,14206.92,14299.3
2021-02-18,14561.13,14654.22,14372.27,14404.1
2021-02-19,14581.83,14662.23,14495.16,14594.31
2021-02-22,14533.63,14722.21,14507.04,14580.09
2021-02-23,14471.18,14594.4,14418.43,14446.44
2021-02-24,14341.72,14422.33,14211.38,14316.56
2021-02-25,14396.78,14581.65,14351.2,14427.14
2021-02-26,14493.88,14594.02,14463.9,14553.86
2021-03-01,14784.39,14814.62,14484.99,14648.42
