Date,Open,High,Low,Close
2021-01-01,307.37,309.85,305.94,307.27
2021-01-04,307.68,310.21,304.05,307.8
2021-01-05,310.16,314.6,306.61,311.8
2021-01-06,315.83,316.62,311.33,314.27
2021-01-07,315.49,315.9,311.16,314.14
2021-01-08,310.87,314.68,307.22,312.17
2021-01-11,316.82,318.1,314.54,317.2
2021-01-12,324.04,324.78,320.62,324.34
2021-01-13,329.61,331.66,329.36,331.14
2021-01-14,321.49,325.11,319.35,323.9
2021-01-15,331.19,336.03,329.19,332.08
2021-01-18,329.46,330.55,329.31,329.93
2021-01-19,323.47,326.51,323.14,325.34
2021-01-20,324.62,328.21,324.31,324.4
2021-01-21,331.16,334.99,328.46,329.62
2021-01-22,334.22,335.14,332.88,333.1
2021-01-25,331.42,335.09,329.74,331.59
2021-01-26,334.5,337.53,331.24,336.97
2021-01-27,338.93,342.02,335.47,337.96
2021-01-28,334.61,334.66,331.71,334.41
2021-01-29,330.62,332.23,329.93,330.06
2021-02-01,335.31,336.3,329.37,332.72
2021-02-02,331.2,335.1,330.62,332.29
2021-02-03,320.15,323.92,318.99,323.86
2021-02-04,327.79,331.01,325.76,329.17
2021-02-05,326.93,329.66,322.65,326.29
2021-02-08,336.39,336.58,332.32,336.35
2021-02-09,326.05,331.17,322.99,327.64
2021-02-10,324.76,328.03,321.92,326.61
2021-02-11,321.95,323.05,319.92,322.41
2021-02-12,315.04,317.47,312.52,316.61
2021-02-15,314.45,315.73,313.25,313.8
2021-02-16,324.03,325.34,322.99,324.57
2021-02-17,324.72,327.53,320.88,325.54
2021-02-18,319.82,323.23,316.06,320.79
2021-02-19,310.31,311.92,308.78,309.98
2021-02-22,300.19,301.73,299.28,300.14
2021-02-23,297.44,300.23,296.38,297.2
2021-02-24,293.95,295.02,292.03,293.74
2021-02-25,292.5,294.77,291.71,292.58
2021-02-26,279.21,283.37,277.03,280.36
2021-03-01,279.14,280.7,278.89,279.95
2021-03-02,285.07,287.65,284.72,285.52
2021-03-03,296.94,300.32,293.52,294.5
2021-03-04,282.69,286.03,280.05,284.22
2021-03-05,279.56,283.31,278.47,280.03
2021-03-08,275.73,276.75,274.06,275.62
2021-03-09,276.12,278.33,273.94,276.46
2021-03-10,271.39,272.41,267.67,270.23
2021-03-11,278.69,279.05,277.67,279.04
2021-03-12,279.08,282.69,276.63,279.34
2021-03-15,279.68,280.49,277.82,278.77
2021-03-16,289.46,292.84,285.15,287.37
2021-03-17,288.99,291.25,285.81,287.36
2021-03-18,289.47,292.77,286.25,289.63
2021-03-19,285.57,288.94,282.2,285.63
2021-03-22,278.45,280.35,275.81,278.4
